city,date,temp_max,temp_min,humidity,rain_probability
Agadir,2025-02-10 18:00:00,24.25,18.12,35,0.0
Agadir,2025-02-10 21:00:00,21.28,15.34,37,0.0
Agadir,2025-02-11 00:00:00,18.11,15.04,39,0.0
Agadir,2025-02-11 03:00:00,14.4,14.4,32,0.0
Agadir,2025-02-11 06:00:00,15.24,15.24,29,0.0
Agadir,2025-02-11 09:00:00,18.07,18.07,30,0.0
Agadir,2025-02-11 12:00:00,20.63,20.63,26,0.0
Agadir,2025-02-11 15:00:00,19.8,19.8,33,0.0
Agadir,2025-02-11 18:00:00,18.66,18.66,37,0.0
Agadir,2025-02-11 21:00:00,15.98,15.98,44,0.0
Agadir,2025-02-12 00:00:00,14.47,14.47,48,0.0
Agadir,2025-02-12 03:00:00,14.17,14.17,37,0.0
Agadir,2025-02-12 06:00:00,13.11,13.11,46,0.0
Agadir,2025-02-12 09:00:00,17.63,17.63,31,0.0
Agadir,2025-02-12 12:00:00,19.88,19.88,31,0.0
Agadir,2025-02-12 15:00:00,20.24,20.24,34,0.0
Agadir,2025-02-12 18:00:00,19.62,19.62,35,0.0
Agadir,2025-02-12 21:00:00,16.54,16.54,41,0.0
Agadir,2025-02-13 00:00:00,14.44,14.44,59,0.0
Agadir,2025-02-13 03:00:00,14.95,14.95,36,0.0
Agadir,2025-02-13 06:00:00,13.73,13.73,44,0.0
Agadir,2025-02-13 09:00:00,16.98,16.98,40,0.0
Agadir,2025-02-13 12:00:00,19.27,19.27,41,0.0
Agadir,2025-02-13 15:00:00,19.1,19.1,43,0.0
Agadir,2025-02-13 18:00:00,18.12,18.12,47,0.0
Agadir,2025-02-13 21:00:00,15.23,15.23,62,0.0
Agadir,2025-02-14 00:00:00,15.01,15.01,50,0.0
Agadir,2025-02-14 03:00:00,14.39,14.39,38,0.0
Agadir,2025-02-14 06:00:00,14.02,14.02,44,0.0
Agadir,2025-02-14 09:00:00,18.5,18.5,30,0.0
Agadir,2025-02-14 12:00:00,22.42,22.42,26,0.0
Agadir,2025-02-14 15:00:00,20.75,20.75,40,0.0
Agadir,2025-02-14 18:00:00,19.74,19.74,40,0.0
Agadir,2025-02-14 21:00:00,16.22,16.22,49,0.0
Agadir,2025-02-15 00:00:00,17.61,17.61,33,0.0
Agadir,2025-02-15 03:00:00,17.68,17.68,30,0.0
Agadir,2025-02-15 06:00:00,18.27,18.27,27,0.0
Agadir,2025-02-15 09:00:00,19.87,19.87,29,0.0
Agadir,2025-02-15 12:00:00,19.77,19.77,43,0.0
Agadir,2025-02-15 15:00:00,14.1,14.1,81,100.0
Casablanca,2025-02-10 18:00:00,22.05,15.6,24,0.0
Casablanca,2025-02-10 21:00:00,19.02,12.96,38,0.0
Casablanca,2025-02-11 00:00:00,15.07,11.58,48,0.0
Casablanca,2025-02-11 03:00:00,11.38,11.38,53,0.0
Casablanca,2025-02-11 06:00:00,11.53,11.53,42,0.0
Casablanca,2025-02-11 09:00:00,14.64,14.64,36,0.0
Casablanca,2025-02-11 12:00:00,21.24,21.24,28,0.0
Casablanca,2025-02-11 15:00:00,20.81,20.81,36,0.0
Casablanca,2025-02-11 18:00:00,16.45,16.45,55,0.0
Casablanca,2025-02-11 21:00:00,13.5,13.5,68,0.0
Casablanca,2025-02-12 00:00:00,12.71,12.71,79,0.0
Casablanca,2025-02-12 03:00:00,11.89,11.89,83,0.0
Casablanca,2025-02-12 06:00:00,11.47,11.47,86,0.0
Casablanca,2025-02-12 09:00:00,14.42,14.42,76,0.0
Casablanca,2025-02-12 12:00:00,18.59,18.59,66,0.0
Casablanca,2025-02-12 15:00:00,18.42,18.42,69,0.0
Casablanca,2025-02-12 18:00:00,15.34,15.34,85,0.0
Casablanca,2025-02-12 21:00:00,13.6,13.6,87,0.0
Casablanca,2025-02-13 00:00:00,12.24,12.24,90,0.0
Casablanca,2025-02-13 03:00:00,11.31,11.31,91,0.0
Casablanca,2025-02-13 06:00:00,10.49,10.49,91,0.0
Casablanca,2025-02-13 09:00:00,13.14,13.14,77,0.0
Casablanca,2025-02-13 12:00:00,17.75,17.75,50,0.0
Casablanca,2025-02-13 15:00:00,18.04,18.04,51,0.0
Casablanca,2025-02-13 18:00:00,14.72,14.72,74,0.0
Casablanca,2025-02-13 21:00:00,13.07,13.07,85,0.0
Casablanca,2025-02-14 00:00:00,12.02,12.02,85,0.0
Casablanca,2025-02-14 03:00:00,11.13,11.13,85,0.0
Casablanca,2025-02-14 06:00:00,10.76,10.76,82,0.0
Casablanca,2025-02-14 09:00:00,13.98,13.98,61,0.0
Casablanca,2025-02-14 12:00:00,21.54,21.54,35,0.0
Casablanca,2025-02-14 15:00:00,18.82,18.82,52,0.0
Casablanca,2025-02-14 18:00:00,15.17,15.17,70,0.0
Casablanca,2025-02-14 21:00:00,12.87,12.87,74,0.0
Casablanca,2025-02-15 00:00:00,12.76,12.76,64,0.0
Casablanca,2025-02-15 03:00:00,12.79,12.79,45,0.0
Casablanca,2025-02-15 06:00:00,12.31,12.31,39,0.0
Casablanca,2025-02-15 09:00:00,15.85,15.85,32,0.0
Casablanca,2025-02-15 12:00:00,21.66,21.66,29,0.0
Casablanca,2025-02-15 15:00:00,19.56,19.56,44,0.0
Marrakech,2025-02-10 18:00:00,23.02,19.77,17,0.0
Marrakech,2025-02-10 21:00:00,19.86,13.55,22,0.0
Marrakech,2025-02-11 00:00:00,15.5,11.74,30,0.0
Marrakech,2025-02-11 03:00:00,10.9,10.9,36,0.0
Marrakech,2025-02-11 06:00:00,10.47,10.47,35,0.0
Marrakech,2025-02-11 09:00:00,15.35,15.35,23,0.0
Marrakech,2025-02-11 12:00:00,21.19,21.19,14,0.0
Marrakech,2025-02-11 15:00:00,23.07,23.07,11,0.0
Marrakech,2025-02-11 18:00:00,19.67,19.67,15,0.0
Marrakech,2025-02-11 21:00:00,13.67,13.67,36,0.0
Marrakech,2025-02-12 00:00:00,12.13,12.13,38,0.0
Marrakech,2025-02-12 03:00:00,11.43,11.43,36,0.0
Marrakech,2025-02-12 06:00:00,9.98,9.98,38,0.0
Marrakech,2025-02-12 09:00:00,15.02,15.02,27,0.0
Marrakech,2025-02-12 12:00:00,20.55,20.55,18,0.0
Marrakech,2025-02-12 15:00:00,23.05,23.05,12,0.0
Marrakech,2025-02-12 18:00:00,19.79,19.79,17,0.0
Marrakech,2025-02-12 21:00:00,14.77,14.77,29,0.0
Marrakech,2025-02-13 00:00:00,11.92,11.92,59,0.0
Marrakech,2025-02-13 03:00:00,10.75,10.75,61,0.0
Marrakech,2025-02-13 06:00:00,10.14,10.14,62,0.0
Marrakech,2025-02-13 09:00:00,14.75,14.75,42,0.0
Marrakech,2025-02-13 12:00:00,21.0,21.0,21,0.0
Marrakech,2025-02-13 15:00:00,23.32,23.32,15,0.0
Marrakech,2025-02-13 18:00:00,20.55,20.55,21,0.0
Marrakech,2025-02-13 21:00:00,15.62,15.62,36,0.0
Marrakech,2025-02-14 00:00:00,13.52,13.52,41,0.0
Marrakech,2025-02-14 03:00:00,11.96,11.96,44,0.0
Marrakech,2025-02-14 06:00:00,11.11,11.11,42,0.0
Marrakech,2025-02-14 09:00:00,16.87,16.87,26,0.0
Marrakech,2025-02-14 12:00:00,22.71,22.71,17,0.0
Marrakech,2025-02-14 15:00:00,25.51,25.51,11,0.0
Marrakech,2025-02-14 18:00:00,20.21,20.21,24,0.0
Marrakech,2025-02-14 21:00:00,15.84,15.84,32,0.0
Marrakech,2025-02-15 00:00:00,14.16,14.16,37,0.0
Marrakech,2025-02-15 03:00:00,12.81,12.81,35,0.0
Marrakech,2025-02-15 06:00:00,12.85,12.85,33,0.0
Marrakech,2025-02-15 09:00:00,18.14,18.14,17,0.0
Marrakech,2025-02-15 12:00:00,25.47,25.47,9,0.0
Marrakech,2025-02-15 15:00:00,25.63,25.63,12,0.0
Fès,2025-02-10 18:00:00,21.03,15.86,17,0.0
Fès,2025-02-10 21:00:00,18.55,13.6,29,0.0
Fès,2025-02-11 00:00:00,15.32,12.46,41,0.0
Fès,2025-02-11 03:00:00,11.3,11.3,54,0.0
Fès,2025-02-11 06:00:00,10.78,10.78,53,0.0
Fès,2025-02-11 09:00:00,15.11,15.11,40,0.0
Fès,2025-02-11 12:00:00,20.49,20.49,30,0.0
Fès,2025-02-11 15:00:00,22.18,22.18,22,0.0
Fès,2025-02-11 18:00:00,15.55,15.55,53,0.0
Fès,2025-02-11 21:00:00,13.15,13.15,60,0.0
Fès,2025-02-12 00:00:00,11.65,11.65,59,0.0
Fès,2025-02-12 03:00:00,10.85,10.85,54,0.0
Fès,2025-02-12 06:00:00,10.07,10.07,50,0.0
Fès,2025-02-12 09:00:00,13.46,13.46,40,0.0
Fès,2025-02-12 12:00:00,18.2,18.2,33,0.0
Fès,2025-02-12 15:00:00,19.39,19.39,39,0.0
Fès,2025-02-12 18:00:00,13.65,13.65,80,0.0
Fès,2025-02-12 21:00:00,12.79,12.79,83,0.0
Fès,2025-02-13 00:00:00,12.02,12.02,86,0.0
Fès,2025-02-13 03:00:00,9.9,9.9,92,0.0
Fès,2025-02-13 06:00:00,8.63,8.63,94,0.0
Fès,2025-02-13 09:00:00,11.38,11.38,84,0.0
Fès,2025-02-13 12:00:00,16.73,16.73,54,0.0
Fès,2025-02-13 15:00:00,18.72,18.72,37,0.0
Fès,2025-02-13 18:00:00,13.87,13.87,54,0.0
Fès,2025-02-13 21:00:00,11.72,11.72,63,0.0
Fès,2025-02-14 00:00:00,10.96,10.96,64,0.0
Fès,2025-02-14 03:00:00,10.28,10.28,67,0.0
Fès,2025-02-14 06:00:00,9.59,9.59,67,0.0
Fès,2025-02-14 09:00:00,13.98,13.98,52,0.0
Fès,2025-02-14 12:00:00,20.21,20.21,35,0.0
Fès,2025-02-14 15:00:00,22.52,22.52,31,0.0
Fès,2025-02-14 18:00:00,17.09,17.09,48,0.0
Fès,2025-02-14 21:00:00,14.7,14.7,57,0.0
Fès,2025-02-15 00:00:00,13.52,13.52,61,0.0
Fès,2025-02-15 03:00:00,12.9,12.9,58,0.0
Fès,2025-02-15 06:00:00,12.43,12.43,52,0.0
Fès,2025-02-15 09:00:00,16.4,16.4,41,0.0
Fès,2025-02-15 12:00:00,22.09,22.09,29,0.0
Fès,2025-02-15 15:00:00,23.91,23.91,22,0.0
Tanger,2025-02-10 18:00:00,20.83,15.56,52,0.0
Tanger,2025-02-10 21:00:00,18.28,13.17,63,0.0
Tanger,2025-02-11 00:00:00,15.16,12.32,76,0.0
Tanger,2025-02-11 03:00:00,11.89,11.89,88,0.0
Tanger,2025-02-11 06:00:00,11.64,11.64,89,0.0
Tanger,2025-02-11 09:00:00,13.67,13.67,80,0.0
Tanger,2025-02-11 12:00:00,18.41,18.41,52,0.0
Tanger,2025-02-11 15:00:00,18.01,18.01,49,0.0
Tanger,2025-02-11 18:00:00,15.34,15.34,61,0.0
Tanger,2025-02-11 21:00:00,14.21,14.21,54,0.0
Tanger,2025-02-12 00:00:00,13.77,13.77,60,8.0
Tanger,2025-02-12 03:00:00,13.9,13.9,72,31.0
Tanger,2025-02-12 06:00:00,13.9,13.9,81,39.0
Tanger,2025-02-12 09:00:00,13.81,13.81,84,68.0
Tanger,2025-02-12 12:00:00,14.61,14.61,73,0.0
Tanger,2025-02-12 15:00:00,15.26,15.26,66,0.0
Tanger,2025-02-12 18:00:00,13.49,13.49,69,0.0
Tanger,2025-02-12 21:00:00,12.79,12.79,73,0.0
Tanger,2025-02-13 00:00:00,12.55,12.55,78,0.0
Tanger,2025-02-13 03:00:00,12.18,12.18,77,0.0
Tanger,2025-02-13 06:00:00,11.41,11.41,79,0.0
Tanger,2025-02-13 09:00:00,13.18,13.18,73,0.0
Tanger,2025-02-13 12:00:00,15.53,15.53,62,0.0
Tanger,2025-02-13 15:00:00,15.37,15.37,59,0.0
Tanger,2025-02-13 18:00:00,13.71,13.71,69,0.0
Tanger,2025-02-13 21:00:00,13.13,13.13,74,0.0
Tanger,2025-02-14 00:00:00,12.07,12.07,76,0.0
Tanger,2025-02-14 03:00:00,11.34,11.34,76,0.0
Tanger,2025-02-14 06:00:00,10.92,10.92,82,0.0
Tanger,2025-02-14 09:00:00,13.18,13.18,75,0.0
Tanger,2025-02-14 12:00:00,18.03,18.03,56,0.0
Tanger,2025-02-14 15:00:00,18.89,18.89,54,0.0
Tanger,2025-02-14 18:00:00,15.73,15.73,68,0.0
Tanger,2025-02-14 21:00:00,13.17,13.17,77,0.0
Tanger,2025-02-15 00:00:00,12.66,12.66,77,0.0
Tanger,2025-02-15 03:00:00,12.26,12.26,76,0.0
Tanger,2025-02-15 06:00:00,11.85,11.85,74,0.0
Tanger,2025-02-15 09:00:00,13.98,13.98,62,0.0
Tanger,2025-02-15 12:00:00,18.78,18.78,46,0.0
Tanger,2025-02-15 15:00:00,19.27,19.27,49,0.0
